tickIndex,positionXMeters,positionYMeters,headingRadians,linearVelocityMetersPerSecond, angularVelocityRadiansPerSecond,state
0,0.000000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
1,0.005000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
2,0.010000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
3,0.015000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
4,0.020000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
5,0.025000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
6,0.030000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
7,0.035000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
8,0.040000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
9,0.045000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
10,0.050000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
11,0.055000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
12,0.060000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
13,0.065000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
14,0.070000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
15,0.075000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
16,0.080000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
17,0.085000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
18,0.090000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
19,0.095000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
20,0.100000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
21,0.105000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
22,0.110000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
23,0.115000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
24,0.120000,0.000000,0.000000,0.250000,0.000000,DRIVE_FORWARD
25,0.125000,0.000000,0.000000,0.000000,1.000000,AVOIDING
26,0.125000,0.000000,0.020000,0.000000,1.000000,AVOIDING
27,0.125000,0.000000,0.040000,0.000000,1.000000,AVOIDING
28,0.125000,0.000000,0.060000,0.000000,1.000000,AVOIDING
29,0.125000,0.000000,0.080000,0.000000,1.000000,AVOIDING
30,0.125000,0.000000,0.100000,0.000000,1.000000,AVOIDING
31,0.125000,0.000000,0.120000,0.000000,1.000000,AVOIDING
32,0.125000,0.000000,0.140000,0.000000,1.000000,AVOIDING
33,0.125000,0.000000,0.160000,0.000000,1.000000,AVOIDING
34,0.125000,0.000000,0.180000,0.000000,1.000000,AVOIDING
35,0.125000,0.000000,0.200000,0.000000,1.000000,AVOIDING
36,0.125000,0.000000,0.220000,0.000000,1.000000,AVOIDING
37,0.125000,0.000000,0.240000,0.000000,1.000000,AVOIDING
38,0.125000,0.000000,0.260000,0.000000,1.000000,AVOIDING
39,0.125000,0.000000,0.280000,0.000000,1.000000,AVOIDING
40,0.125000,0.000000,0.300000,0.250000,0.000000,DRIVE_FORWARD
41,0.129777,0.001478,0.300000,0.250000,0.000000,DRIVE_FORWARD
42,0.134553,0.002955,0.300000,0.250000,0.000000,DRIVE_FORWARD
43,0.139330,0.004433,0.300000,0.250000,0.000000,DRIVE_FORWARD
44,0.144107,0.005910,0.300000,0.250000,0.000000,DRIVE_FORWARD
45,0.148883,0.007388,0.300000,0.250000,0.000000,DRIVE_FORWARD
46,0.153660,0.008866,0.300000,0.250000,0.000000,DRIVE_FORWARD
47,0.158437,0.010343,0.300000,0.250000,0.000000,DRIVE_FORWARD
48,0.163213,0.011821,0.300000,0.250000,0.000000,DRIVE_FORWARD
49,0.167990,0.013298,0.300000,0.250000,0.000000,DRIVE_FORWARD
50,0.172767,0.014776,0.300000,0.250000,0.000000,DRIVE_FORWARD
51,0.177544,0.016254,0.300000,0.250000,0.000000,DRIVE_FORWARD
52,0.182320,0.017731,0.300000,0.250000,0.000000,DRIVE_FORWARD
53,0.187097,0.019209,0.300000,0.250000,0.000000,DRIVE_FORWARD
54,0.191874,0.020686,0.300000,0.250000,0.000000,DRIVE_FORWARD
55,0.196650,0.022164,0.300000,0.250000,0.000000,DRIVE_FORWARD
56,0.201427,0.023642,0.300000,0.250000,0.000000,DRIVE_FORWARD
57,0.206204,0.025119,0.300000,0.250000,0.000000,DRIVE_FORWARD
58,0.210980,0.026597,0.300000,0.250000,0.000000,DRIVE_FORWARD
59,0.215757,0.028074,0.300000,0.250000,0.000000,DRIVE_FORWARD
